Before_Weight,After_Weight
72.48357076505616,71.556932846101
69.30867849414408,68.99103207324877
73.23844269050346,74.48759642002929
77.61514928204012,78.77655543814483
68.82923312638331,62.69622502251204
68.8293152152541,64.01584009550874
77.89606407753696,77.44116987916294
73.83717364576455,73.37853149850118
67.65262807032524,67.19777112924338
72.71280021792982,82.270994689894
67.68291153593769,67.39558306801719
67.67135123214871,69.0780481526905
71.20981135783018,72.07181664830978
60.43359877671101,60.3877725306284
61.375410837434835,58.4296031035138
67.18856235379513,67.46547001527493
64.93584439832789,60.61736875471517
71.57123666297637,68.86078084275636
65.45987962239394,62.003788978906634
62.93848149332354,61.18410391148251
77.32824384460777,82.2722195446283
68.87111849756732,61.26932291979208
70.33764102343962,70.39642159456315
62.87625906893272,56.03811145536376
67.27808637737408,63.86229078000578
70.55461294854933,71.82146473945143
64.24503211288848,62.43787217017487
71.87849009172837,66.64525575794045
66.99680655040598,62.850895422626074
68.54153125103362,68.58032449783765
66.99146693885301,62.8003670437016
79.26139092254469,77.91076669129062
69.93251387631032,68.06922939602177
64.71144535522049,60.75664431240304
74.11272456051594,78.54455682849192
63.89578175014489,63.797538817098925
71.04431797502377,62.96889021505095
60.201649380601125,58.76101232490941
63.359069755507846,59.37371036120268
70.98430617934562,71.54160618373429
73.69233289997705,69.31477068467895
70.85684140594985,68.51263208154916
69.4217585880588,68.93672042500016
68.49448152205356,69.09174710456392
62.60739004816286,57.006500826995534
66.40077895802645,63.397275250503604
67.69680614520107,64.2719702117182
75.28561113109458,71.32562343337345
71.71809144784231,75.0144541686856
61.18479922318633,60.3997443560692
71.62041984697397,65.83776798396883
68.07458859791842,68.82817443908274
66.6153899984702,70.98185858950811
73.05838144420434,74.15577722585779
75.15499761247976,68.59688771461772
74.65640059558099,71.20369837698223
65.80391238388681,67.60464583144667
68.45393812074393,64.33092972388758
71.65631715701782,70.9877754414565
74.8777256356118,75.20162779589981
67.60412881077355,62.82333739603929
69.07170511668092,66.89312904849552
64.46832512996986,52.74452310976264
64.01896687959665,58.945803955593775
74.06262911197099,71.30492465779152
76.78120014285412,71.03785059695957
69.63994939209833,72.53718330389324
75.01766448946012,68.72724035557822
71.80818012523817,68.48804666514721
66.77440122697438,65.16662295883265
71.80697802754207,74.13079789474043
77.69018283232984,71.38259637879152
69.82086980445024,71.31036106091511
77.82321827907003,75.85391746212879
56.901274479551276,51.956748526407424
74.10951252187611,73.49582294466593
70.43523534119086,69.03241442791128
68.50496324767066,64.70431261619427
70.45880388267751,68.66821013764758
60.06215542699554,56.906214636410255
68.90164056081244,67.24219259656618
71.78556285755873,71.77195488112187
77.38947022370758,80.14752067214363
67.40864890863176,61.69520241215122
65.95753198553406,70.35663210950287
67.49121478207732,59.634951383509815
74.57701058851038,72.12165530340363
71.64375554829843,71.40870716775215
67.3511989811648,66.1941745843699
72.56633716556678,68.698238606105
70.4853877467402,67.86102099566838
74.84322495266444,71.36422214868794
66.48973453061323,62.7216402597806
68.36168926701116,68.91049555807423
68.0394592343392,67.11050569223434
62.68242525933941,58.60369647355745
71.48060138532288,72.17940101162263
71.30527636089944,70.22717492352928
70.02556728321231,70.46415363972919
68.82706433312427,68.71595085889511
62.923146289747926,58.436161256981705
67.89677338617321,64.2162302655823
68.28642741736616,68.52830823273594
65.9886136538919,65.8197244501923
69.19357144166996,67.13086665977751
72.02025428407269,70.37223643399903
79.43092950605265,81.26392419341792
70.8728890641592,67.0981748976517
71.28775195361382,70.92904409712393
69.62777042116916,67.02119246386748
60.40614392350479,57.75310031382313
69.86743062275391,71.16376117871549
